Gene	Frequency
ZNF658	16
OR4A47	16
KCNMA1	16
IGSF3	16
PMS1	16
MYOC	16
RFX4	16
ITSN1	16
KIF26B	16
UHRF1BP1L	16
FAM179B	16
SLC24A2	16
SV2A	16
KIF1B	16
CDX4	16
CEP192	16
NFATC2	16
RGPD3	16
ATP11C	16
ZPLD1	16
DCAF8L2	16
MYO5B	16
TRIP12	16
CDYL	16
EDNRB	16
TRPM8	16
RALGAPB	16
PCDHA13	16
FRMD6	16
CROT	16
UBN2	16
WDR78	16
ILDR2	16
ZNF835	16
FHL5	16
OR10A2	16
SLC1A3	16
ANKRD26	16
STARD13	16
POU3F4	16
ZCCHC16	16
MED12L	16
MS4A14	16
OR10K1	16
AGRN	16
TSHR	16
KIF1A	16
ITGA4	16
GRIK3	16
TDRD1	16
IGF2BP1	16
PRAMEF11	16
IL1RAPL2	16
ADAM29	16
OR13F1	16
FAM83C	16
OR4D11	16
SLC28A3	16
KIF17	16
CYP4F2	16
FAM135A	16
PCDHB3	16
AOX1	16
SLC22A12	16
ABCG8	16
CDH4	16
SLC4A8	16
GPR156	15
RPL10L	15
KCNS2	15
SLC1A6	15
SKIV2L2	15
CSF1R	15
PLEKHA7	15
KIF6	15
TLR8	15
PDE6B	15
OR10J1	15
KIF13A	15
EXO1	15
OR5R1	15
SH3BP4	15
OR4P4	15
DDR2	15
PCDH9	15
VN1R4	15
ASB5	15
UGT2B7	15
NEU4	15
OBSL1	15
SYCP1	15
CD163	15
TTC17	15
SLC4A10	15
PCDHGA7	15
TBX18	15
ABCD2	15
SYT16	15
RAPGEF6	15
ARFGEF1	15
HERC4	15
PLXND1	15
NINL	15
SLC9A2	15
SVEP1	15
OR51E2	15
TRIM49	15
NOD2	15
COL5A3	15
CMKLR1	15
SUN1	15
ARHGAP25	15
GCC2	15
FAP	15
NR5A2	15
PNPLA6	15
PCDHB1	15
GPRASP2	15
CACNA1D	15
CNTN5	15
CPNE4	15
PTPRR	15
DIAPH2	15
STARD8	15
THBS2	15
TFAP2B	15
ROCK1	15
PHACTR3	15
CHRND	15
UMODL1	15
DAB2	15
KIDINS220	15
GBF1	15
SIGLEC8	15
C11orf63	15
EPHA4	15
KCNJ2	15
IGFN1	15
OR4M1	15
TBR1	15
TTBK1	15
MRC2	15
SLC17A8	15
UGT2A3	15
CARD6	15
OR5AR1	15
ABCA7	15
INTU	15
NR4A2	15
NRG1	15
NEDD4	15
SLC22A16	15
NUMA1	15
CCDC87	15
EXOC4	15
MEFV	15
CHSY3	15
OR51Q1	15
DNAJC10	15
THADA	15
ANKRD44	15
DUSP22	15
RLF	15
OR10W1	15
SMC4	15
JAKMIP2	15
SF3B1	15
MGAT3	15
C7orf60	15
FER	15
SLC5A12	15
PGR	15
SSFA2	15
RFX6	15
PHKA1	15
ZSCAN20	15
OR2A5	14
RABGAP1L	14
CSRNP3	14
RPH3A	14
TINAG	14
ZNF142	14
JAK2	14
LAMB2	14
TANC2	14
DKK2	14
EMR2	14
SETD1A	14
CADM2	14
OR2T10	14
GPRIN1	14
MLLT10	14
KCNH3	14
SOX6	14
OR14I1	14
PPEF2	14
HAPLN1	14
UMOD	14
OR8K5	14
INPP4B	14
GBP6	14
COL25A1	14
DOT1L	14
SAMSN1	14
SERPINA4	14
SERPINA5	14
VANGL2	14
LRRC15	14
USP7	14
AKR1B15	14
ITK	14
C1orf168	14
NR1H4	14
CELSR1	14
ZWINT	14
EBF1	14
RAB11FIP1	14
OR10G9	14
KYNU	14
KRTAP24-1	14
ZSCAN4	14
TF	14
SLC12A3	14
ATP7B	14
ARFGEF2	14
NPHP4	14
TEX11	14
CD1A	14
GBP5	14
TRAPPC9	14
EYA2	14
ZNF304	14
NLRP1	14
MYO10	14
PKD2L1	14
ADAMTS15	14
RAB3GAP2	14
PTCHD1	14
SCG2	14
DARC	14
XRN1	14
EVPL	14
CPA3	14
SEPT14	14
C10orf12	14
ABCG4	14
SERPINA7	14
OR5M10	14
ACTC1	14
SENP7	14
BAIAP3	14
HCN4	14
ZFP64	14
GPC5	14
DZIP1L	14
NEK10	14
RASAL2	14
ITGA1	14
AKAP4	14
DHX9	14
LRRC16A	14
DOK6	14
NFRKB	14
RFWD2	14
OR1S1	14
RPAP1	14
ABCC2	13
DIP2B	13
HELQ	13
FHDC1	13
TBX3	13
TRERF1	13
BPI	13
PRTG	13
CNST	13
ABCC12	13
OR11G2	13
IRGC	13
RAPGEF4	13
CD200R1	13
TARS	13
AVPR1A	13
BOC	13
CNOT1	13
ZNF667	13
TTC29	13
REM1	13
POT1	13
SMARCAD1	13
DUOX2	13
SLC35F1	13
CAPN13	13
NOX3	13
TNS1	13
CKAP5	13
USP33	13
KDM2B	13
ARMCX2	13
SNRNP200	13
CUX1	13
TMPRSS11F	13
LINGO2	13
CNR1	13
LY9	13
OR5B21	13
NFAT5	13
BICD1	13
KIAA1522	13
TAS2R16	13
CRB2	13
PDE2A	13
CLTC	13
ANKRD55	13
LIFR	13
HCK	13
AK5	13
PSG3	13
PTPN4	13
STK31	13
PTPRJ	13
ANKFN1	13
RXFP3	13
PCDHGA1	13
MCHR2	13
ZNF280A	13
PCDH1	13
DGKG	13
PSG4	13
MCC	13
OR56A3	13
ACSL6	13
CILP	13
PRAMEF4	13
MUT	13
NFE2L2	13
SHANK2	13
AKAP3	13
GPR133	13
SERPINB2	13
MIA2	13
CXorf66	13
LGI2	13
AP3B2	13
MYF5	13
COL15A1	13
CDH13	13
HTT	13
TOX2	13
AMOT	13
DRD3	13
DACT1	13
USP31	13
CA10	13
C6orf222	13
CNKSR1	13
GPR45	13
KDM5B	13
UTP20	13
PCDHGB4	13
GRM4	13
TARBP1	13
KSR1	13
OR4C15	13
PROKR2	13
PCDHGA12	13
MORC4	13
TNKS1BP1	13
KDM4C	13
SYCP2	13
AACS	13
DLX5	13
SFMBT2	13
CYYR1	13
TRPM5	13
LRRC16B	13
AIFM1	13
C3orf20	13
OR2B11	13
NYNRIN	13
PPP1R12B	13
PLEKHG3	13
PKNOX2	13
RGS6	13
ADAM7	13
NIPAL4	13
THSD4	13
ADAMTS4	13
GLG1	13
DSC3	13
MYOM1	13
ARHGAP4	13
VWA3A	13
